seqnames	strand	qwidth	start	end	width	nbrJunctions	read	flag	rname	pos	mapq	NM	nbrM	nbrI	nbrD	nbrN	nbrS	nbrH	nbrP	nbrX	readLength	alignedLength	nbrPrimaryAlignments	nbrSecondaryAlignments	nbrSupplementaryAlignments
ENST00000390594.3	-	2146	263	417	155	0	b33a8216-686d-446a-adea-88f36385776f	272	ENST00000390594.3	263	0	26	151	14	4	0	1981	0	0	0	2146	165	1	4	0
ENST00000455737.2	-	2320	286	417	132	0	ca1fad9f-b28c-4f7f-bc97-0836ac8e489a	272	ENST00000455737.2	286	0	11	129	4	3	0	2187	0	0	0	2320	133	1	9	0
ENST00000557788.2	-	2320	222	353	132	0	ca1fad9f-b28c-4f7f-bc97-0836ac8e489a	272	ENST00000557788.2	222	0	10	129	4	3	0	2187	0	0	0	2320	133	1	9	0
ENST00000390506.1	+	1232	1	55	55	0	b806f31a-380e-4e93-a948-dc4f60be89aa	0	ENST00000390506.1	1	6	0	55	0	0	0	1177	0	0	0	1232	55	1	0	0
ENST00000361390.2	+	977	1	294	294	0	e7442112-108c-4de7-84e6-796f00fb71be	0	ENST00000361390.2	1	60	14	289	2	5	0	686	0	0	0	977	291	1	0	1
ENST00000361390.2	+	514	1	275	275	0	ddd0913d-45aa-4c6d-9fd7-04f3a1698ac3	0	ENST00000361390.2	1	60	6	271	1	4	0	242	0	0	0	514	272	1	0	0
ENST00000361390.2	-	1157	1	291	291	0	b8578bdc-c673-4745-859b-b614d411d0c8	16	ENST00000361390.2	1	60	8	284	0	7	0	873	0	0	0	1157	284	1	0	1
ENST00000361390.2	-	1365	201	751	551	0	8a6cc449-8af8-474b-90ed-a1ce79ff65a8	16	ENST00000361390.2	201	60	46	533	15	18	0	817	0	0	0	1365	548	1	1	1
ENST00000361390.2	+	615	387	875	489	0	9ecb9d2a-c7b7-420a-941c-9fa56c44a180	0	ENST00000361390.2	387	60	61	467	10	22	0	138	0	0	0	615	477	1	0	0
ENST00000361390.2	-	568	394	763	370	0	6916aecb-0dd0-471b-8a36-74c36081136a	16	ENST00000361390.2	394	60	23	369	12	1	0	187	0	0	0	568	381	1	0	0
ENST00000361390.2	-	431	547	704	158	0	40894d9d-32be-4edb-9742-56d6ff24163c	16	ENST00000361390.2	547	60	5	157	1	1	0	273	0	0	0	431	158	1	0	0
ENST00000361390.2	+	728	859	926	68	0	faf2542d-df72-44c3-948f-ef0d85c5b74c	0	ENST00000361390.2	859	0	1	67	0	1	0	661	0	0	0	728	67	1	1	0
ENST00000361453.3	-	529	1	413	413	0	cb3c8911-fd13-48f2-89c4-188315511e83	16	ENST00000361453.3	1	1	32	398	2	15	0	129	0	0	0	529	400	1	1	0
ENST00000361453.3	+	329	89	315	227	0	79a2f3ce-ad96-46d9-bdb4-7dccf9536941	0	ENST00000361453.3	89	0	23	218	7	9	0	104	0	0	0	329	225	1	1	0
ENST00000361453.3	-	570	148	198	51	0	24f80393-2a5b-4d52-99b7-e4eef51316d1	272	ENST00000361453.3	148	0	0	51	0	0	0	519	0	0	0	570	51	1	2	2
ENST00000361453.3	-	309	402	517	116	0	7a03a347-ada6-4335-a2b5-bb8a784c0e04	16	ENST00000361453.3	402	56	2	116	1	0	0	192	0	0	0	309	117	1	0	0
ENST00000361453.3	+	462	413	649	237	0	1591f5c0-b39e-41c4-a814-6cec6df7123a	0	ENST00000361453.3	413	60	9	235	4	2	0	223	0	0	0	462	239	1	0	1
ENST00000361453.3	+	290	505	601	97	0	ed59406d-3fef-4d77-a369-166df53bddc2	0	ENST00000361453.3	505	28	9	93	1	4	0	196	0	0	0	290	94	1	0	0
ENST00000361453.3	-	268	708	818	111	0	d2b80bcc-805d-4023-88a1-416f2fd1a1b5	272	ENST00000361453.3	708	0	17	94	0	17	0	174	0	0	0	268	94	1	1	0
ENST00000361453.3	+	471	937	1014	78	0	92610b9c-121f-44a3-bce6-da06edc203f0	0	ENST00000361453.3	937	1	8	77	3	1	0	391	0	0	0	471	80	1	0	0
ENST00000361624.2	+	1198	1	760	760	0	817b7841-b515-4a92-8bca-3eaea62837e0	0	ENST00000361624.2	1	41	96	729	29	31	0	440	0	0	0	1198	758	1	0	0
ENST00000361624.2	+	337	1	175	175	0	e9ed1bdd-433d-4f48-b135-8393a4f468d5	0	ENST00000361624.2	1	1	24	158	2	17	0	177	0	0	0	337	160	1	1	0
ENST00000361624.2	-	347	1	176	176	0	e56e8eb1-c4ef-4ca0-993c-528ce13b51d3	16	ENST00000361624.2	1	13	9	172	3	4	0	172	0	0	0	347	175	1	1	0
ENST00000361624.2	+	389	2	193	192	0	d011e389-1f31-4a81-a1c0-d17ca3eaa37d	0	ENST00000361624.2	2	2	19	189	3	3	0	197	0	0	0	389	192	1	2	0
ENST00000361624.2	+	521	137	516	380	0	ec79a802-d8b7-40ce-b838-cb72cc9d9599	0	ENST00000361624.2	137	41	24	375	9	5	0	137	0	0	0	521	384	1	0	0
ENST00000361624.2	+	649	241	686	446	0	d700c6a4-fb45-404b-89ca-ce14e48baf7a	0	ENST00000361624.2	241	60	30	440	8	6	0	201	0	0	0	649	448	1	0	0
ENST00000361624.2	+	459	320	600	281	0	007963ae-0538-48eb-9893-39cd6ebad942	0	ENST00000361624.2	320	60	13	274	1	7	0	184	0	0	0	459	275	1	1	0
ENST00000361624.2	-	270	461	595	135	0	5d9e9ac3-c2c5-4ae3-a1fb-f3185d5a1fc6	16	ENST00000361624.2	461	50	9	130	1	5	0	139	0	0	0	270	131	1	0	0
ENST00000361624.2	+	305	482	600	119	0	00211e7b-4ce3-48a9-befc-b69bb47c2695	0	ENST00000361624.2	482	2	13	114	1	5	0	190	0	0	0	305	115	1	0	0
ENST00000361624.2	-	419	539	667	129	0	a64d4307-618f-4acb-b74c-220c93ec179e	16	ENST00000361624.2	539	45	7	129	2	0	0	288	0	0	0	419	131	1	0	0
ENST00000361624.2	+	333	551	738	188	0	7e9e88c0-a645-43d0-8e43-0ebba82149de	0	ENST00000361624.2	551	35	17	185	3	3	0	145	0	0	0	333	188	1	1	0
ENST00000361624.2	+	724	631	1222	592	0	e1dd8a53-c087-4357-a31e-c4ff1f8b5b86	0	ENST00000361624.2	631	17	35	581	9	11	0	134	0	0	0	724	590	1	0	0
ENST00000361624.2	+	1612	709	1542	834	0	38329ed6-4005-496d-b618-19f81a44783a	0	ENST00000361624.2	709	14	34	820	10	14	0	782	0	0	0	1612	830	1	0	1
ENST00000361624.2	-	489	727	979	253	0	6f1691ad-cc8e-46b6-ae40-6bf39e0e0adf	16	ENST00000361624.2	727	11	7	248	0	5	0	241	0	0	0	489	248	1	1	0
ENST00000361624.2	+	388	750	1017	268	0	f3b5b7a5-f471-424b-8603-8f416a51cd02	0	ENST00000361624.2	750	1	14	262	2	6	0	124	0	0	0	388	264	1	1	0
ENST00000361624.2	-	520	751	1074	324	0	4152cafa-91ec-4414-bb56-98457e95590f	16	ENST00000361624.2	751	51	5	320	0	4	0	200	0	0	0	520	320	1	1	0
ENST00000361624.2	-	707	1021	1493	473	0	de22bd0f-dccc-4c82-80d1-4f956ada4b37	16	ENST00000361624.2	1021	41	39	461	19	12	0	227	0	0	0	707	480	1	1	0
ENST00000361624.2	+	373	1415	1512	98	0	81e524fc-ff9e-4912-a075-4618393ddc20	0	ENST00000361624.2	1415	0	7	96	4	2	0	273	0	0	0	373	100	1	1	0
ENST00000361624.2	-	126	1415	1536	122	0	f2931fe2-9625-4ab6-8c53-26f853f96ae8	2064	ENST00000361624.2	1415	0	5	122	4	0	0	0	723	0	0	849	126	1	3	1
ENST00000361739.1	+	492	1	491	491	0	38329ed6-4005-496d-b618-19f81a44783a	2048	ENST00000361739.1	1	37	23	483	9	8	0	0	1120	0	0	1612	492	1	0	1
ENST00000361739.1	-	343	1	147	147	0	524464ce-bca2-4c7f-b511-d52515332208	16	ENST00000361739.1	1	21	6	144	1	3	0	198	0	0	0	343	145	1	1	0
ENST00000361739.1	-	849	1	372	372	0	f2931fe2-9625-4ab6-8c53-26f853f96ae8	16	ENST00000361739.1	1	57	19	371	5	1	0	473	0	0	0	849	376	1	3	1
ENST00000361739.1	-	472	1	167	167	0	fffc23d8-208f-45b5-8657-4aac101917f3	16	ENST00000361739.1	1	32	10	166	0	1	0	306	0	0	0	472	166	1	1	0
ENST00000361739.1	-	525	2	238	237	0	40814691-46b4-466b-9e08-461093d7cea7	16	ENST00000361739.1	2	37	13	231	5	6	0	289	0	0	0	525	236	1	1	0
ENST00000361739.1	-	664	3	373	371	0	81bfb6f6-b23f-4d09-b5dd-fa2649fe59f8	16	ENST00000361739.1	3	56	52	357	13	14	0	294	0	0	0	664	370	1	3	1
ENST00000361739.1	+	714	4	514	511	0	0c5c1da9-f3fa-4403-9cf9-5713fcd71e12	0	ENST00000361739.1	4	35	71	492	28	19	0	194	0	0	0	714	520	1	0	0
ENST00000361739.1	-	593	8	229	222	0	3990908e-6ee9-4449-ad03-962b1bf52a68	16	ENST00000361739.1	8	52	4	221	2	1	0	370	0	0	0	593	223	1	1	0
ENST00000361739.1	+	644	108	374	267	0	bff2d560-1893-459c-a0ed-43ce374da676	0	ENST00000361739.1	108	60	9	264	3	3	0	377	0	0	0	644	267	1	1	1
ENST00000361739.1	-	879	125	684	560	0	d0a5f815-3315-4f6d-afae-cf90cb886464	16	ENST00000361739.1	125	49	25	554	12	6	0	313	0	0	0	879	566	1	0	0
ENST00000361739.1	-	503	269	652	384	0	3fdd871f-e402-44ba-a5a5-0f506a1af3f6	16	ENST00000361739.1	269	43	37	365	6	19	0	132	0	0	0	503	371	1	0	0
ENST00000361739.1	-	590	488	684	197	0	a7fe084b-8152-4a10-b770-01f44eaa384f	16	ENST00000361739.1	488	60	21	181	4	16	0	405	0	0	0	590	185	1	0	1
ENST00000361851.1	-	339	1	137	137	0	d02be860-c5f0-483d-a31e-943367018712	16	ENST00000361851.1	1	51	4	136	1	1	0	202	0	0	0	339	137	1	1	0
ENST00000361851.1	-	128	1	137	137	0	a7fe084b-8152-4a10-b770-01f44eaa384f	2064	ENST00000361851.1	1	5	17	128	0	9	0	0	462	0	0	590	128	1	0	1
ENST00000361851.1	+	434	7	207	201	0	bddb8088-8a2d-4a84-aa9a-c652bef604c8	0	ENST00000361851.1	7	2	30	192	13	9	0	229	0	0	0	434	205	1	2	0
ENST00000361851.1	+	180	26	203	178	0	4dd442f8-a8e6-4e05-8488-effdfc9564ae	2048	ENST00000361851.1	26	60	12	175	5	3	0	0	676	0	0	856	180	1	0	1
ENST00000361851.1	+	252	68	198	131	0	cbdf2970-5c47-46b4-a4c2-aad9f1b66eda	0	ENST00000361851.1	68	46	10	128	0	3	0	124	0	0	0	252	128	1	1	0
ENST00000361851.1	+	102	108	207	100	0	d523c735-b418-458b-91d0-c68c553c0ace	2048	ENST00000361851.1	108	60	4	99	3	1	0	0	318	0	0	420	102	1	2	1
ENST00000361899.2	+	420	1	178	178	0	d523c735-b418-458b-91d0-c68c553c0ace	0	ENST00000361899.2	1	24	10	172	2	6	0	246	0	0	0	420	174	1	2	1
ENST00000361899.2	+	856	1	464	464	0	4dd442f8-a8e6-4e05-8488-effdfc9564ae	0	ENST00000361899.2	1	38	40	447	10	17	0	399	0	0	0	856	457	1	0	1
ENST00000361899.2	-	595	8	169	162	0	fef793b6-3f9c-4948-97ca-cfb6ec779625	16	ENST00000361899.2	8	41	18	153	7	9	0	435	0	0	0	595	160	1	1	1
ENST00000361899.2	+	350	67	153	87	0	a9ef3c94-8480-4631-b976-f70b2e9abd83	0	ENST00000361899.2	67	20	2	86	0	1	0	264	0	0	0	350	86	1	1	1
ENST00000361899.2	+	493	99	267	169	0	9b2994d9-4cc5-4659-9569-59917728c420	0	ENST00000361899.2	99	60	6	168	3	1	0	322	0	0	0	493	171	1	1	0
ENST00000361899.2	-	522	110	409	300	0	8c34ed7e-5cc3-4605-99ed-44da73436a61	16	ENST00000361899.2	110	42	46	285	18	15	0	219	0	0	0	522	303	1	0	0
ENST00000361899.2	+	524	112	513	402	0	67225eec-d07d-4f65-a2ca-d0239f065020	0	ENST00000361899.2	112	37	25	393	5	9	0	126	0	0	0	524	398	1	0	0
ENST00000361899.2	+	578	122	201	80	0	8133a486-bb44-485c-b70c-bcc81030daed	0	ENST00000361899.2	122	1	4	77	0	3	0	501	0	0	0	578	77	1	1	0
ENST00000361899.2	+	178	144	319	176	0	52ed3358-0bb1-4071-877a-fbe78ce8ca10	2048	ENST00000361899.2	144	49	8	174	4	2	0	0	513	0	0	691	178	1	2	2
ENST00000361899.2	-	82	168	250	83	0	a9ef3c94-8480-4631-b976-f70b2e9abd83	2064	ENST00000361899.2	168	26	2	82	0	1	0	0	268	0	0	350	82	1	1	1
ENST00000361899.2	-	593	201	674	474	0	781ce9e8-2a25-4cc9-80b9-db65a8fc8d4e	16	ENST00000361899.2	201	50	40	458	10	16	0	125	0	0	0	593	468	1	1	0
ENST00000361899.2	-	1046	230	681	452	0	24006901-21aa-40f1-afb0-509de4d9ae84	16	ENST00000361899.2	230	32	27	443	4	9	0	599	0	0	0	1046	447	1	1	1
ENST00000361899.2	-	403	331	419	89	0	504fdaf2-cf02-45f3-8f1c-8ff11e7f6d1e	16	ENST00000361899.2	331	0	1	89	0	0	0	314	0	0	0	403	89	1	1	0
ENST00000361899.2	-	291	394	681	288	0	36784798-c0ef-44a2-b043-eaa3ffe1f32a	2064	ENST00000361899.2	394	38	13	286	5	2	0	0	570	0	0	861	291	1	0	1
ENST00000361899.2	-	162	522	681	160	0	fef793b6-3f9c-4948-97ca-cfb6ec779625	2064	ENST00000361899.2	522	9	19	153	9	7	0	0	433	0	0	595	162	1	1	1
ENST00000362079.2	-	861	1	461	461	0	36784798-c0ef-44a2-b043-eaa3ffe1f32a	16	ENST00000362079.2	1	34	27	451	6	10	0	404	0	0	0	861	457	1	0	1
ENST00000362079.2	-	635	4	327	324	0	05c456ee-3c0d-4762-b4a7-f992ae8ff7bd	16	ENST00000362079.2	4	59	6	321	1	3	0	313	0	0	0	635	322	1	1	0
ENST00000362079.2	-	424	6	433	428	0	24006901-21aa-40f1-afb0-509de4d9ae84	2064	ENST00000362079.2	6	29	37	416	8	12	0	0	622	0	0	1046	424	1	1	1
ENST00000362079.2	+	1172	11	390	380	0	061ae3be-57f0-4bfa-a1e8-ce8e3f0a88c9	0	ENST00000362079.2	11	30	54	351	12	29	0	809	0	0	0	1172	363	1	1	0
ENST00000362079.2	+	404	112	379	268	0	66e933c0-21fa-4f48-80bd-d5c29772ab4e	0	ENST00000362079.2	112	37	22	255	3	13	0	146	0	0	0	404	258	1	0	0
ENST00000362079.2	+	167	357	526	170	0	bff2d560-1893-459c-a0ed-43ce374da676	2048	ENST00000362079.2	357	14	7	166	1	4	0	0	477	0	0	644	167	1	1	1
ENST00000362079.2	+	469	384	690	307	0	421e1859-fd42-4b62-ad03-aab2526b9b19	0	ENST00000362079.2	384	60	12	299	1	8	0	169	0	0	0	469	300	1	0	0
ENST00000362079.2	-	305	513	594	82	0	410528a0-dd16-48cd-b32a-2341c9a28ac1	16	ENST00000362079.2	513	3	7	82	2	0	0	221	0	0	0	305	84	1	0	0
ENST00000362079.2	-	349	612	783	172	0	19aac6e0-51f1-4b2a-9c1f-ebe3e05636c9	16	ENST00000362079.2	612	60	8	166	2	6	0	181	0	0	0	349	168	1	0	0
ENST00000361227.2	+	444	64	319	256	0	3660bff0-ac6e-4d03-aaac-499338631947	0	ENST00000361227.2	64	60	25	249	8	7	0	187	0	0	0	444	257	1	0	0
ENST00000361227.2	-	995	133	346	214	0	11f61c26-6990-4822-825a-6bdbbd33af14	16	ENST00000361227.2	133	60	4	213	2	1	0	780	0	0	0	995	215	1	0	2
ENST00000361335.1	-	136	5	143	139	0	11f61c26-6990-4822-825a-6bdbbd33af14	2064	ENST00000361335.1	5	56	6	136	0	3	0	0	859	0	0	995	136	1	0	2
ENST00000361335.1	-	549	5	290	286	0	69a7b739-5624-49a1-b3b1-353ec4a23a79	16	ENST00000361335.1	5	59	27	280	6	6	0	263	0	0	0	549	286	1	0	0
ENST00000361335.1	-	521	7	297	291	0	09f43c28-d9bc-4f1a-a1f7-3cfc5f488b5c	16	ENST00000361335.1	7	49	57	279	25	12	0	217	0	0	0	521	304	1	1	0
ENST00000361335.1	-	584	93	297	205	0	8d279f55-291d-434c-a51d-1d363fc4f287	16	ENST00000361335.1	93	60	12	203	4	2	0	377	0	0	0	584	207	1	0	1
ENST00000361335.1	+	570	126	297	172	0	24f80393-2a5b-4d52-99b7-e4eef51316d1	0	ENST00000361335.1	126	60	4	171	0	1	0	399	0	0	0	570	171	1	2	2
ENST00000361381.2	+	114	1	114	114	0	24f80393-2a5b-4d52-99b7-e4eef51316d1	2048	ENST00000361381.2	1	6	8	112	2	2	0	0	456	0	0	570	114	1	2	2
ENST00000361381.2	-	181	1	189	189	0	8d279f55-291d-434c-a51d-1d363fc4f287	2064	ENST00000361381.2	1	60	12	181	0	8	0	0	403	0	0	584	181	1	0	1
ENST00000361381.2	+	441	169	438	270	0	dc843dd5-1299-4aa3-a457-096e14074629	0	ENST00000361381.2	169	60	13	261	1	9	0	179	0	0	0	441	262	1	0	0
ENST00000361381.2	-	271	205	279	75	0	522bb1ff-98d8-42aa-ad66-72c3e1938498	16	ENST00000361381.2	205	21	3	73	0	2	0	198	0	0	0	271	73	1	0	0
ENST00000361381.2	-	550	276	654	379	0	81d66217-051a-48a4-9bf2-32b93c4e1bee	16	ENST00000361381.2	276	60	22	368	1	11	0	181	0	0	0	550	369	1	0	0
ENST00000361381.2	-	466	446	803	358	0	00131b13-f53d-4852-94be-6987daf6b0f6	16	ENST00000361381.2	446	60	15	353	3	5	0	110	0	0	0	466	356	1	0	0
ENST00000361381.2	-	402	480	654	175	0	b5c4d14b-cf08-4ef2-9618-51a7463001d2	16	ENST00000361381.2	480	58	19	161	2	14	0	239	0	0	0	402	163	1	0	0
ENST00000361381.2	-	213	496	704	209	0	11f61c26-6990-4822-825a-6bdbbd33af14	2064	ENST00000361381.2	496	60	10	208	5	1	0	0	782	0	0	995	213	1	0	2
ENST00000361381.2	-	411	557	754	198	0	048f5287-4d48-4db9-a35e-c76b2130e355	16	ENST00000361381.2	557	60	11	195	5	3	0	211	0	0	0	411	200	1	0	0
ENST00000361381.2	-	195	559	657	99	0	46722bf8-82a0-4995-9de9-67107d0f03aa	16	ENST00000361381.2	559	21	4	99	1	0	0	95	0	0	0	195	100	1	0	0
ENST00000361381.2	-	471	636	913	278	0	cd8d08f2-0902-4dfb-a1f4-405e64ab5907	16	ENST00000361381.2	636	60	24	269	11	9	0	191	0	0	0	471	280	1	0	0
ENST00000361381.2	-	622	688	1109	422	0	b44dde25-ec28-4fca-acd8-f57514bf25ab	16	ENST00000361381.2	688	60	13	420	5	2	0	197	0	0	0	622	425	1	0	0
ENST00000361381.2	-	458	795	1049	255	0	f7dc28b1-effd-418a-9196-6f6a75f40d82	16	ENST00000361381.2	795	37	10	255	2	0	0	201	0	0	0	458	257	1	0	0
ENST00000361381.2	+	297	850	951	102	0	88a0277b-6448-4fca-8897-541c7ce4fb9d	0	ENST00000361381.2	850	26	9	100	1	2	0	196	0	0	0	297	101	1	0	0
ENST00000361381.2	+	236	880	1112	233	0	169a4770-5fa5-4353-ba14-8efee74371fb	2048	ENST00000361381.2	880	54	10	232	4	1	0	0	625	0	0	861	236	1	0	3
ENST00000361381.2	-	103	961	1066	106	0	e3b4fd37-2c6e-4f73-961b-44795934cf58	2064	ENST00000361381.2	961	8	6	102	1	4	0	0	322	0	0	425	103	1	1	1
ENST00000361381.2	-	635	1174	1260	87	0	dfc8c437-d278-47ec-ad31-12626dbc7827	16	ENST00000361381.2	1174	31	3	86	1	1	0	548	0	0	0	635	87	1	0	0
ENST00000361567.2	+	861	178	426	249	0	169a4770-5fa5-4353-ba14-8efee74371fb	0	ENST00000361567.2	178	60	5	246	1	3	0	614	0	0	0	861	247	1	0	3
ENST00000361567.2	+	516	220	525	306	0	77c813fd-5b8e-4936-ab04-4547cb8dd2d0	0	ENST00000361567.2	220	60	26	304	15	2	0	197	0	0	0	516	319	1	0	0
ENST00000361567.2	-	1175	237	514	278	0	763b012a-4c9b-4e6f-b75f-0f4b54c2d899	16	ENST00000361567.2	237	60	21	275	8	3	0	892	0	0	0	1175	283	1	0	2
ENST00000361567.2	-	85	256	338	83	0	169a4770-5fa5-4353-ba14-8efee74371fb	2064	ENST00000361567.2	256	42	2	83	2	0	0	0	776	0	0	861	85	1	0	3
ENST00000361567.2	-	67	410	477	68	0	169a4770-5fa5-4353-ba14-8efee74371fb	2064	ENST00000361567.2	410	13	2	67	0	1	0	0	794	0	0	861	67	1	0	3
ENST00000361567.2	-	429	412	716	305	0	cce8bc8b-77b0-4729-9182-3efc1f3985ff	16	ENST00000361567.2	412	60	15	297	1	8	0	131	0	0	0	429	298	1	0	0
ENST00000361567.2	+	143	497	644	148	0	763b012a-4c9b-4e6f-b75f-0f4b54c2d899	2048	ENST00000361567.2	497	46	19	139	4	9	0	0	1032	0	0	1175	143	1	0	2
ENST00000361567.2	-	425	623	887	265	0	e3b4fd37-2c6e-4f73-961b-44795934cf58	16	ENST00000361567.2	623	60	71	206	4	59	0	215	0	0	0	425	210	1	1	1
ENST00000361567.2	+	432	792	1035	244	0	34671e49-3f36-400a-9d44-f5a8faab95a3	0	ENST00000361567.2	792	60	15	239	2	5	0	191	0	0	0	432	241	1	0	0
ENST00000361567.2	+	274	821	901	81	0	bda45f36-e28d-4286-bb02-81075c0d1e28	0	ENST00000361567.2	821	9	4	81	0	0	0	193	0	0	0	274	81	1	0	0
ENST00000361567.2	-	121	991	1111	121	0	763b012a-4c9b-4e6f-b75f-0f4b54c2d899	2064	ENST00000361567.2	991	58	7	119	2	2	0	0	1054	0	0	1175	121	1	0	2
ENST00000361567.2	-	349	1026	1115	90	0	d3c1e9dd-8151-4ccb-9ece-6f99bf749fd3	16	ENST00000361567.2	1026	33	4	88	1	2	0	260	0	0	0	349	89	1	1	0
ENST00000361567.2	+	102	1075	1176	102	0	81bfb6f6-b23f-4d09-b5dd-fa2649fe59f8	2048	ENST00000361567.2	1075	60	2	101	1	1	0	0	562	0	0	664	102	1	3	1
ENST00000361567.2	-	470	1078	1355	278	0	36f5c496-ce45-44b7-8901-43485027c43d	16	ENST00000361567.2	1078	60	8	272	0	6	0	198	0	0	0	470	272	1	0	0
ENST00000361567.2	-	336	1140	1246	107	0	eade5550-620c-4d93-8184-13d56f6eebbb	16	ENST00000361567.2	1140	17	5	104	1	3	0	231	0	0	0	336	105	1	2	0
ENST00000361567.2	-	321	1141	1256	116	0	c10384b8-f4f4-497c-83a9-909511c7222d	16	ENST00000361567.2	1141	3	2	116	0	0	0	205	0	0	0	321	116	1	1	1
ENST00000361567.2	-	141	1368	1514	147	0	3643077f-b055-450a-a8a4-d3d776187650	2064	ENST00000361567.2	1368	32	12	139	2	8	0	0	381	0	0	522	141	1	1	2
ENST00000361567.2	+	99	1421	1522	102	0	1591f5c0-b39e-41c4-a814-6cec6df7123a	2048	ENST00000361567.2	1421	1	13	95	4	7	0	0	363	0	0	462	99	1	0	1
ENST00000361567.2	+	691	1558	1812	255	0	52ed3358-0bb1-4071-877a-fbe78ce8ca10	0	ENST00000361567.2	1558	60	10	250	2	5	0	439	0	0	0	691	252	1	2	2
ENST00000361567.2	-	397	1570	1780	211	0	82b821b8-854d-47f0-89c7-1a0b7dae183a	16	ENST00000361567.2	1570	60	18	203	7	8	0	187	0	0	0	397	210	1	0	0
ENST00000361681.2	+	677	1	95	95	0	ad3768c5-fe57-45b3-a361-47fca832d873	0	ENST00000361681.2	1	13	6	93	2	2	0	582	0	0	0	677	95	1	2	0
ENST00000361681.2	+	1297	1	525	525	0	431b45d2-43e3-4c52-9019-3a8c2ed3218d	0	ENST00000361681.2	1	60	30	502	6	23	0	789	0	0	0	1297	508	1	0	1
ENST00000361681.2	-	413	1	130	130	0	db43296a-01ae-4eda-a39f-d056eda93628	16	ENST00000361681.2	1	57	10	125	1	5	0	287	0	0	0	413	126	1	1	0
ENST00000361681.2	-	1073	1	525	525	0	45bd1325-0ae1-420c-8ddf-487a57d988bf	16	ENST00000361681.2	1	60	22	518	4	7	0	551	0	0	0	1073	522	1	0	1
ENST00000361681.2	+	404	6	130	125	0	8dabd678-d727-4c50-8b0f-8b6b8ed5278a	0	ENST00000361681.2	6	1	17	119	3	6	0	282	0	0	0	404	122	1	0	0
ENST00000361681.2	+	595	83	346	264	0	1fa9a32c-8582-4901-8af6-9014ee43f75c	0	ENST00000361681.2	83	34	44	241	11	23	0	343	0	0	0	595	252	1	0	0
ENST00000361681.2	+	475	141	264	124	0	0271700e-ae14-4acd-ba81-487f76115385	0	ENST00000361681.2	141	14	17	112	0	12	0	363	0	0	0	475	112	1	0	0
ENST00000361681.2	+	86	164	255	92	0	c10384b8-f4f4-497c-83a9-909511c7222d	2048	ENST00000361681.2	164	15	8	86	0	6	0	0	235	0	0	321	86	1	1	1
